,,,,,18-06-2026 18:44:43,,,,,,,,,
,,,PREFEITURA MUNICIPAL DE CORONEL FABRICIANO,,,,,,,,,,,
,,,ESTADO DE MINAS GERAIS,,,,,,,,,,,
,,,Contratos,,,,,,,,,,,
,,,,,,,,,,,,,,
Contrato,Vigência,,,Fornecedor,,Modalidade,,,,,Valor Inicial,Objeto,,
101/2026,13/05/2027,ANA LUIZA ARAUJO SERVICOS MEDICOS LTDA TÍTULO DO ,09 - INEXIGIBILIDADE,,313/2025,,"5568000,00",,"Credenciamento de pessoa jurídica para fornecer serviços de Consultas Médicas, no território de Coronel Fabriciano, com valores diferenciados aprovados pelo Conselho Municipal de Saúde, por meio da Resolução CMS nº 007/2023, tendo como fonte de receita, Transferências Fundo a Fundo de Recursos do SUS provenientes do Governo Estadual e Recursos não Vinculados de Impostos.",,
100/2026,12/05/2027,DOMO SERVICOS MEDICOS LTDA [65.626.649/0001-68],09 - INEXIGIBILIDADE,,182/2025,,"924000,00",,"Credenciamento de pessoa jurídica para fornecer serviços de consultas médicas, no território de Coronel Fabriciano, em conformidade com a “Tabela de Procedimentos, Medicamentos, Órteses e Próteses e Materiais Especiais (OPM) do Sistema Único de Saúde - SUS” - GRUPO 02 - SUBGRUPO 1  - CONSULTAS, ATENDIMENTOS E ACOMPANHAMENTOS, com valores diferenciados aprovados pelo Conselho Municipal de Saúde, por meio da Resolução CMS 009/2025,tendo como fonte de receita, Transferências Fundo a Fundo de Recursos do SUS provenientes do Governo Federal, Estadual e Recursos não Vinculados de Impostos.
",,
Exercício: 2026,,,,República Federativa do Brasil,,,,,,Página: 3 de, 36
Contrato,Vigência,Fornecedor,Modalidade,,,,,Valor Inicial,Objeto,,
,,,,,,Processo,,,,,
,,,,,,,,,"
",,
99/2026,19/05/2027,FEDERACAO DE COOPERATIVAS DA AGRICULTURA ,14 - CHAMADA PÚBLICA,,370/2025,,"24808,68",,"Aquisição de Hortifrútis e Alimentos Processados provenientes da Agricultura Familiar para manutenção da Alimentação Escolar Rede Municipal de Ensino, CMEI’S, Creches, Entidades Conveniadas no Município de Coronel Fabriciano, para o ano de 2026, utilizando recurso do Governo Federal: Transferências de Recursos do FNDE Referentes ao Programa Nacional de Alimentação Escolar (PNAE). ",,
98/2026,19/05/2027,ASSOCIACAO DOS AGRICULTORES FAMILIARES DA REGIAO ,14 - CHAMADA PÚBLICA,,370/2025,,"208225,36",,"Aquisição de Hortifrútis e Alimentos Processados provenientes da Agricultura Familiar para manutenção da Alimentação Escolar Rede Municipal de Ensino, CMEI’S, Creches, Entidades Conveniadas no Município de Coronel Fabriciano, para o ano de 2026, utilizando recurso do Governo Federal: Transferências de Recursos do FNDE Referentes ao Programa Nacional de Alimentação Escolar (PNAE). ",,
97/2026,19/05/2027,ASSOCIACAO DAS MULHERES PRODUTORAS RURAIS ,14 - CHAMADA PÚBLICA,,370/2025,,"338343,80",,"Aquisição de Hortifrútis e Alimentos Processados provenientes da Agricultura Familiar para manutenção da Alimentação Escolar Rede Municipal de Ensino, CMEI’S, Creches, Entidades Conveniadas no Município de Coronel Fabriciano, para o ano de 2026, utilizando recurso do Governo Federal: Transferências de Recursos do FNDE Referentes ao Programa Nacional de Alimentação Escolar (PNAE). ",,
95/2026,19/05/2027,ASSOC. DOS PEQ. PROD. RURAIS INDEPENDENTES DOS ,14 - CHAMADA PÚBLICA,,370/2025,,"139226,50",,"Aquisição de Hortifrútis e Alimentos Processados provenientes da Agricultura Familiar para manutenção da Alimentação Escolar Rede Municipal de Ensino, CMEI’S, Creches, Entidades Conveniadas no Município de Coronel Fabriciano, para o ano de 2026, utilizando recurso do Governo Federal: Transferências de Recursos do FNDE Referentes ao Programa Nacional de Alimentação Escolar (PNAE). ",,
94/2026,05/05/2027,INSTITUTO DE ODONTOLOGIA & ORTOPEDIA LTDA ,09 - INEXIGIBILIDADE,,31/2026,,"544379,50",,"Credenciamento de empresas especializadas para a prestação de serviços oftalmológicos, abrangendo consultas especializadas, exames diagnósticos complementares e procedimentos terapêuticos, conforme a tabela diferenciada aprovada pelo conselho municipal de saúde por meio da resolução nº 030, de 15 de janeiro de 2019, em atendimento à Secretaria de Governança da Saúde, tendo como fonte de receita, Transferências Fundo a Fundo de Recursos do SUS provenientes do Governo Federal.",,
93/2026,06/05/2027,CASA DE ARTES E INCLUSÃO SOCIAL - CAIS [03.994.117,14 - CHAMADA PÚBLICA,,339/2025,,"144000,00",,Concessão de apoio da Administração Pública Municipal para a execução de atividades de implantação e desenvolvimento de iniciação instrumental e musical para os alunos das Escolas Municipais da Secretaria de Governança Educacional e Cultura da Prefeitura Municipal de Coronel Fabriciano/MG. ,,
92/2026,07/05/2027,JOSE RIBEIRO COTTA [012.756.316-49],09 - INEXIGIBILIDADE,,65/2026,,"72000,00",,"Locação de imóvel, pertencente a JOSÉ RIBEIRO COTTA, localizado na Rua Armando Fajardo nº 168, Bairro Santa Helena, Coronel Fabriciano/MG, para funcionamento do Museu Histórico Municipal “José Avelino Barbosa”, em atendimento à Secretaria de Governança Educacional e Cultura, ao valor global de R$ 72.000,00 (setenta e dois mil reais), para o período de 12 (doze) meses, tendo como fonte de receita, Recursos não Vinculados de Impostos,  nos termos do art. 74 inciso V, da Lei Federal nº 14.133/21, com suas alterações posteriores.",,
91/2026,06/05/2027,UNIDAS DISTRIBUIDORA LTDA [48.493.494/0001-10],30 - PREGÃO ELETRÔNICO,,23/2026,,"29447,80",,"Aquisição de material médico hospitalar, para atender as Unidades Básicas de Saúde, Saúde Mental, CASAM, CAPSI, Hospital Doutor José Maria Morais, UPA 24 horas Doutor Walter Luiz Winter Maia, Equipe Multidisciplinar de Atenção Domiciliar (EMAD), CEO e Secretaria de Assistência Social, tendo como fonte de receita, Transferências Fundo a Fundo de Recursos do SUS Provenientes do Governo Federal, Transferências Fundo a Fundo de Recursos do SUS Provenientes do Governo Estadual e Recursos não Vinculados de Impostos.",,
90/2026,06/05/2027,SOMA/MG PRODUTOS HOSPITALARES LTDA [12.927.876,30 - PREGÃO ELETRÔNICO,,23/2026,,"237456,60",,"Aquisição de material médico hospitalar, para atender as Unidades Básicas de Saúde, Saúde Mental, CASAM, CAPSI, Hospital Doutor José Maria Morais, UPA 24 horas Doutor Walter Luiz Winter Maia, Equipe Multidisciplinar de Atenção Domiciliar (EMAD), CEO e Secretaria de Assistência Social, tendo como fonte de receita, Transferências Fundo a Fundo de Recursos do SUS Provenientes do Governo Federal, Transferências Fundo a Fundo de Recursos do SUS Provenientes do Governo Estadual e Recursos não Vinculados de Impostos.",,
89/2026,06/05/2027,PEROLA IMPORTADORA E DISTRIBUIDORA HOSPITALAR ,30 - PREGÃO ELETRÔNICO,,23/2026,,"46968,00",,"Aquisição de material médico hospitalar, para atender as Unidades Básicas de Saúde, Saúde Mental, CASAM, CAPSI, Hospital Doutor José Maria Morais, UPA 24 horas Doutor Walter Luiz Winter Maia, Equipe Multidisciplinar de Atenção Domiciliar (EMAD), CEO e Secretaria de ",,
Exercício: 2026,,,,República Federativa do Brasil,,,,,,Página: 4 de, 36
Contrato,Vigência,Fornecedor,Modalidade,,,,,Valor Inicial,Objeto,,
,,,,,,Processo,,,,,
,,,,,,,,,"Assistência Social, tendo como fonte de receita, Transferências Fundo a Fundo de Recursos do SUS Provenientes do Governo Federal, Transferências Fundo a Fundo de Recursos do SUS Provenientes do Governo Estadual e Recursos não Vinculados de Impostos.",,
88/2026,06/05/2027,MEDSET SOLUCOES PARA SAUDE LTDA [52.165.681/0001-41],30 - PREGÃO ELETRÔNICO,,23/2026,,"16379,59",,"Aquisição de material médico hospitalar, para atender as Unidades Básicas de Saúde, Saúde Mental, CASAM, CAPSI, Hospital Doutor José Maria Morais, UPA 24 horas Doutor Walter Luiz Winter Maia, Equipe Multidisciplinar de Atenção Domiciliar (EMAD), CEO e Secretaria de Assistência Social, tendo como fonte de receita, Transferências Fundo a Fundo de Recursos do SUS Provenientes do Governo Federal, Transferências Fundo a Fundo de Recursos do SUS Provenientes do Governo Estadual e Recursos não Vinculados de Impostos.",,
87/2026,06/05/2027,M & E DISTRIBUIDORA DE MEDICAMENTOS LTDA [50.548.325,30 - PREGÃO ELETRÔNICO,,23/2026,,"636423,59",,"Aquisição de material médico hospitalar, para atender as Unidades Básicas de Saúde, Saúde Mental, CASAM, CAPSI, Hospital Doutor José Maria Morais, UPA 24 horas Doutor Walter Luiz Winter Maia, Equipe Multidisciplinar de Atenção Domiciliar (EMAD), CEO e Secretaria de Assistência Social, tendo como fonte de receita, Transferências Fundo a Fundo de Recursos do SUS Provenientes do Governo Federal, Transferências Fundo a Fundo de Recursos do SUS Provenientes do Governo Estadual e Recursos não Vinculados de Impostos.",,
86/2026,06/05/2027,F V P COELHO [26.294.192/0001-80],30 - PREGÃO ELETRÔNICO,,23/2026,,"56125,80",,"Aquisição de material médico hospitalar, para atender as Unidades Básicas de Saúde, Saúde Mental, CASAM, CAPSI, Hospital Doutor José Maria Morais, UPA 24 horas Doutor Walter Luiz Winter Maia, Equipe Multidisciplinar de Atenção Domiciliar (EMAD), CEO e Secretaria de Assistência Social, tendo como fonte de receita, Transferências Fundo a Fundo de Recursos do SUS Provenientes do Governo Federal, Transferências Fundo a Fundo de Recursos do SUS Provenientes do Governo Estadual e Recursos não Vinculados de Impostos.",,
85/2026,06/05/2027,EPORT LTDA [46.964.118/0001-30],30 - PREGÃO ELETRÔNICO,,23/2026,,"165551,50",,"Aquisição de material médico hospitalar, para atender as Unidades Básicas de Saúde, Saúde Mental, CASAM, CAPSI, Hospital Doutor José Maria Morais, UPA 24 horas Doutor Walter Luiz Winter Maia, Equipe Multidisciplinar de Atenção Domiciliar (EMAD), CEO e Secretaria de Assistência Social, tendo como fonte de receita, Transferências Fundo a Fundo de Recursos do SUS Provenientes do Governo Federal, Transferências Fundo a Fundo de Recursos do SUS Provenientes do Governo Estadual e Recursos não Vinculados de Impostos.",,
84/2026,06/05/2027,ARLIMED DISTRIBUIDORA HOSPITALAR LTDA [18.362.195,30 - PREGÃO ELETRÔNICO,,23/2026,,"72230,40",,"Aquisição de material médico hospitalar, para atender as Unidades Básicas de Saúde, Saúde Mental, CASAM, CAPSI, Hospital Doutor José Maria Morais, UPA 24 horas Doutor Walter Luiz Winter Maia, Equipe Multidisciplinar de Atenção Domiciliar (EMAD), CEO e Secretaria de Assistência Social, tendo como fonte de receita, Transferências Fundo a Fundo de Recursos do SUS Provenientes do Governo Federal, Transferências Fundo a Fundo de Recursos do SUS Provenientes do Governo Estadual e Recursos não Vinculados de Impostos.",,
83/2026,06/05/2027,ALMED LTDA - EPP [03.574.839/0001-21],30 - PREGÃO ELETRÔNICO,,23/2026,,"152294,24",,"Aquisição de material médico hospitalar, para atender as Unidades Básicas de Saúde, Saúde Mental, CASAM, CAPSI, Hospital Doutor José Maria Morais, UPA 24 horas Doutor Walter Luiz Winter Maia, Equipe Multidisciplinar de Atenção Domiciliar (EMAD), CEO e Secretaria de Assistência Social, tendo como fonte de receita, Transferências Fundo a Fundo de Recursos do SUS Provenientes do Governo Federal, Transferências Fundo a Fundo de Recursos do SUS Provenientes do Governo Estadual e Recursos não Vinculados de Impostos.",,
82/2026,06/05/2027,ALFALAGOS LTDA. [05.194.502/0001-14],30 - PREGÃO ELETRÔNICO,,23/2026,,"196545,58",,"Aquisição de material médico hospitalar, para atender as Unidades Básicas de Saúde, Saúde Mental, CASAM, CAPSI, Hospital Doutor José Maria Morais, UPA 24 horas Doutor Walter Luiz Winter Maia, Equipe Multidisciplinar de Atenção Domiciliar (EMAD), CEO e Secretaria de Assistência Social, tendo como fonte de receita, Transferências Fundo a Fundo de Recursos do SUS Provenientes do Governo Federal, Transferências Fundo a Fundo de Recursos do SUS Provenientes do Governo Estadual e Recursos não Vinculados de Impostos.",,
81/2026,05/05/2027,ACACIA COMERCIO DE MEDICAMENTOS LTDA [03.945.035,30 - PREGÃO ELETRÔNICO,,23/2026,,"104824,80",,"Aquisição de material médico hospitalar, para atender as Unidades Básicas de Saúde, Saúde Mental, CASAM, CAPSI, Hospital Doutor José Maria Morais, UPA 24 horas Doutor Walter Luiz Winter Maia, Equipe Multidisciplinar de Atenção Domiciliar (EMAD), CEO e Secretaria de Assistência Social, tendo como fonte de receita, Transferências Fundo a ",,
Exercício: 2026,,,,República Federativa do Brasil,,,,,,Página: 5 de, 36
Contrato,Vigência,Fornecedor,Modalidade,,,,,Valor Inicial,Objeto,,
,,,,,,Processo,,,,,
