,,,,,,18-06-2026 18:43:20,,,,,,
,,,PREFEITURA MUNICIPAL DE CORONEL FABRICIANO,,,,,,,,,
,,,ESTADO DE MINAS GERAIS,,,,,,,,,
,,,Lista de Processos Licitatórios,,,,,,,,,
,,,,,,,,,,,,
Processo,Modalidade,,,Nro. Modalidade,Abertura,,,,Situação,Objeto,,
,,,,,,,,Publicação,,,,
48/2026,DISPENSA DE LICITAÇÃO,5,15-05-2026 13:00 <br> 11-,,11-05-2026,Homologado,"Aquisição de veículo elétrico de pequeno porte para premiar os contribuintes participantes da campanha do IPTU Premiado, conforme Lei Municipal nº 3.510 de 07 de abril de 2010 e Decreto 9.102 de 12 de fevereiro de 2026, tendo como fonte de receita: Recursos não Vinculados de Impostos.",,
49/2026,INEXIGIBILIDADE,16,08-05-2026 13:00 <br> 08-,,13-05-2026,Homologado,"Contratação da empresa APICE HEALTHCARE EQUIPAMENTOS MÉDICOS HOSPITALARES LTDA, para prestação de serviços de manutenção corretiva, com troca de peças do carro de anestesia do Hospital Doutor José Maria Morais, em atendimento à Secretaria de Governança da Saúde, no valor global de R$11.430,00 (onze mil, quatrocentos e trinta reais), tendo como fonte de receita, Transferências Fundo a Fundo de Recursos do SUS, nos termos do art. 74 inciso I, da Lei Federal nº 14.133/21, com suas alterações posteriores.",,
38/2026,PREGÃO ELETRÔNICO,23,08-05-2026 13:00 <br> 08-,,23-04-2026,Homologado,"Aquisição de Eletrodomésticos e Equipamento de Informática para premiar os contribuintes participantes da campanha do IPTU Premiado 2026, conforme Lei Municipal nº 3.510 de 07 de Abril de 2010 e Decreto nº 9.102 de 12 de Fevereiro de 2026, em atendimento à Secretaria de Governança Financeira e Orçamentária, tendo como fonte de receita, Recursos Não Vinculados de Impostos. ",,
26/2026,PREGÃO ELETRÔNICO REGISTRO DE PREÇO,14,05-05-2026 13:00 <br> 05-,,15-04-2026,Homologado,"Registro de Preço para futura e eventual aquisição contínua de medicamentos, fracassados e desertos no Pregão Eletrônico nº 095/2025, para administrar nos pacientes internados/atendidos no hospital Dr. José Maria Morais (HJMM), pacientes atendidos na UPA 24 horas Dr. Walter Luiz Winter Maia, para dispensar aos pacientes atendidos e acompanhados pela atenção básica, atenção especializada e saúde mental da Secretaria de Governança da Saúde do Município de Coronel Fabriciano/MG, tendo como fonte de receitas, Transferências Fundo a Fundo de Recursos do SUS Provenientes do Governo Federal, Transferências Fundo a Fundo de Recursos do SUS Provenientes do Governo Estadual e Recursos não Vinculados de Impostos. ",,
35/2026,PREGÃO ELETRÔNICO,12,04-05-2026 13:00 <br> 04-,,13-04-2026,Homologado,"Aquisição de aparelhos médicos hospitalares, para atender ao plano de trabalho do Município de Coronel Fabriciano, aprovado em resposta ao “Acordo Judicial para Reparação Integral e Definitiva Relativa ao Rompimento da Barragem de Fundão”, para fortalecimento, ampliação e melhorias da infraestrutura de saúde, conforme regulamentação estabelecida ",,
Exercício: 2026,,,,República Federativa do Brasil,,,,Página: 3 de, 32
Processo,Modalidade,Nro. Modalidade,Abertura,,,Situação,Objeto,,
,,,,,Publicação,,,,
,,,,,,,"pela portaria GM/MS nº 8.118, de 17 de setembro de 2025, em atendimento às demandas do Hospital Doutor José Maria Morais, tendo como fonte de receita, Transferências Fundo a Fundo de Recursos do SUS Provenientes do Governo Federal.",,
33/2026,CONCORRÊNCIA,5,04-05-2026 13:00 <br> 04-,,10-04-2026,Homologado,"Contratação de empresa, por menor preço global e sob regime de empreitada global, com medições unitárias, com fornecimento de mão-de-obra, materiais, equipamentos, para Reconstrução da Ponte localizada na Rua Nove, entre os Bairros Santa Cruz e Santa Inês, no Município de Coronel Fabriciano/MG, em atendimento à Secretaria de Governança de Obras e Serviços Urbanos, tendo como fonte receita, Recursos não Vinculados de Impostos.",,
36/2026,PREGÃO ELETRÔNICO REGISTRO DE PREÇO,20,30-04-2026 13:00 <br> 30-,,16-04-2026,Homologado,"Registro de Preços, para futura e eventual aquisição de medalhas, para realização de eventos esportivos, corridas, caminhadas, atividades recreativas, torneios e campeonatos de diversas modalidades esportivas, no Município de Coronel Fabriciano/MG, tendo como fonte de receita, Recursos não Vinculados de Impostos.

",,
32/2026,PREGÃO ELETRÔNICO REGISTRO DE PREÇO,18,29-04-2026 13:00 <br> 29-,,14-04-2026,Homologado,"Registro de Preços, para futura e eventual aquisição de caixas térmicas, gelo reutilizável e termômetro de cabo extensivo, em atendimento a rede de Urgência e Emergência, Gerência de Atenção Básica, Gerência de Atenção Especializada e Vigilância em Saúde, tendo como fonte de receita, Transferências Fundo a Fundo de Recursos do SUS Provenientes do Governo Federal, Transferências Fundo a Fundo de Recursos do SUS Provenientes do Governo Estadual, Recursos Provenientes de Taxas, Contribuições e Preços Públicos e Recursos não Vinculados de Impostos.",,
28/2026,PREGÃO ELETRÔNICO REGISTRO DE PREÇO,9,27-04-2026 13:00 <br> 27-,,07-04-2026,Homologado,"Registro de Preço, para futura e eventual aquisição de ração para cães e gatos, a serem ofertadas aos animais apreendidos e ou recebidos para eutanásia, visando proporcionar a estes um bem estar nutricional, em atendimento à Secretaria de Governança da Saúde, tendo como fonte de receitas, Transferências Fundo a Fundo de Recursos do SUS Provenientes do Governo Federal, Transferências Fundo a Fundo de Recursos do SUS Provenientes do Governo Estadual e Recursos não Vinculados de Impostos.",,
43/2026,INEXIGIBILIDADE,12,23-04-2026 13:00 <br> 23-,,28-04-2026,Homologado,"Locação de imóvel, pertencente a JOSÉ RIBEIRO COTTA, localizado na Rua Armando Fajardo nº 168, Bairro Santa Helena, Coronel Fabriciano/MG, para funcionamento do Museu Histórico Municipal “José Avelino Barbosa”, em atendimento à Secretaria de Governança Educacional e Cultura, ao valor global de R$ 72.000,00 (setenta e dois mil reais), para o período de 12 (doze) meses, tendo como fonte de receita, Recursos não Vinculados de Impostos,  nos termos do art. 74 inciso V, da Lei Federal nº 14.133/21, com suas alterações posteriores.",,
40/2026,PREGÃO ELETRÔNICO,16,11-05-2026 13:00 <br> 23-,,23-04-2026,Homologado,"Contratação de empresa para Locação de Sistemas de Energia Ininterrupta (Nobreaks) com Instalação e Suporte, compreendendo a disponibilização dos equipamentos, configuração e manutenção integral (preventiva e corretiva), com fornecimento de peças e baterias, em atendimento à Secretaria de Governança de Gestão e Transparência e Secretaria de Governança da Saúde, tendo como fonte de receita: Recursos Não Vinculados de Impostos, Transferências Fundo a Fundo de Recursos do SUS Provenientes do Governo Federal, Transferências Fundo a Fundo de Recursos do SUS Provenientes do Governo Estadual.",,
34/2026,INEXIGIBILIDADE,15,17-04-2026 13:00 <br> 17-,,14-04-2026,Homologado,"Credenciamento para prestação de serviços técnicos profissionais especializados, na área de odontologia, para atendimento ao centro de especialidades odontológicas (CEO), em atendimento a Secretaria De Governança Da Saúde, de Coronel Fabriciano, em atendimento à Secretaria de Governança da Saúde, tendo como fonte de receita, Transferências Fundo a Fundo de Recursos do SUS provenientes do Governo Federal, Transferências Fundo a Fundo de Recursos do SUS provenientes do Governo Estadual e Recursos Não Vinculados de Impostos.",,
1/2026,PREGÃO ELETRÔNICO REGISTRO DE PREÇO,2,16-04-2026 13:00 <br> 16-,,12-02-2026,Homologado,"Futura e eventual aquisição de Lanches, que serão utilizados em diversos eventos institucionais e para dar continuidade de fornecimento aos setores das Secretarias de Governança da Prefeitura Municipal de Coronel Fabriciano/MG, para o ano de 2026, tendo como fonte de receita, Transferências Fundo a Fundo de Recursos do SUS provenientes do Governo Federal, Transferências Fundo a Fundo de Recursos do SUS provenientes do Governo Estadual e Recursos não Vinculados de Impostos.",,
29/2026,INEXIGIBILIDADE,11,14-04-2026 13:00 <br> 14-,,09-04-2026,Homologado,"Contratação, por meio de Credenciamento, de empresas prestadoras de serviços de saúde para execução de procedimentos especializados de pequenas cirurgias ambulatoriais, especialmente exéreses e biópsias de lesões cutâneas, a serem realizados nas dependências do Centro de Especialidades Médicas (CEM) do Município de Coronel Fabriciano/MG, em atendimento a Secretaria de Governança da Saúde, tendo como fonte de receita, Recursos não Vinculados de Impostos.",,
31/2026,INEXIGIBILIDADE,13,07-04-2026 13:00 <br> 07-,,10-04-2026,Homologado,"Contratação de empresa JORGE LUIZ ALVES 30600383687, para prestação de serviços de manutenção preventiva e corretiva, com fornecimento de peças, nos compressores de ar instalados no Hospital Doutor José Maria Morais, Unidade de Pronto Atendimento - UPA 24 horas Doutor Walter Luiz Winter Maia e Centro de Especialidades Médicas - CEM,   em ",,
Exercício: 2026,,,,República Federativa do Brasil,,,,Página: 4 de, 32
Processo,Modalidade,Nro. Modalidade,Abertura,,,Situação,Objeto,,
,,,,,Publicação,,,,
,,,,,,,"atendimento à Secretaria de Governança da Saúde, ao valor global de R$190.000,00 (cento e noventa mil reais), para o período de 12 (doze) meses, tendo como fonte de receita, Transferências Fundo a Fundo de Recursos do SUS Provenientes do Governo Federal, Transferências Fundo a Fundo de Recursos do SUS Provenientes do Governo Estadual e Recursos não Vinculados de Impostos,  nos termos do art. 74 inciso I, da Lei Federal nº 14.133/21, com suas alterações posteriores.",,
22/2026,PREGÃO ELETRÔNICO,10,06-04-2026 13:00 <br> 06-,,20-03-2026,Homologado,"Aquisição de material médico hospitalar, para atender as Unidades Básicas de Saúde, Saúde Mental, CASAM, CAPSI, Hospital Doutor José Maria Morais, UPA 24 horas Doutor Walter Luiz Winter Maia, Equipe Multidisciplinar de Atenção Domiciliar (EMAD), CEO e Secretaria de Assistência Social, tendo como fonte de receita, Transferências Fundo a Fundo de Recursos do SUS Provenientes do Governo Federal, Transferências Fundo a Fundo de Recursos do SUS Provenientes do Governo Estadual e Recursos não Vinculados de Impostos.",,
25/2026,INEXIGIBILIDADE,10,06-04-2026 12:00 <br> 06-,,27-03-2026,Homologado,"Credenciamento de empresas especializadas na prestação de serviços de esterilização cirúrgica (castração) de cães e gatos, incluindo resgate com veículo equipado, fornecimento de hospedagem, microchipagem, vacinas, entre outros procedimentos, conforme Resolução n º 002 de 11 de fevereiro de 2026, em atendimento à Secretaria de Governança da Saúde, tendo como fonte de receita, Transferências Fundo a Fundo de Recursos do SUS provenientes do Governo Federal, Transferências Fundo a Fundo de Recursos do SUS provenientes do Governo Estadual e Recursos não Vinculados de Impostos.",,
12/2026,PREGÃO ELETRÔNICO REGISTRO DE PREÇO,7,31-03-2026 13:00 <br> 31-,,12-03-2026,Homologado,"Futura e eventual aquisição de Café em Pó, Açúcar Cristal, Chá Mate e Adoçante, para assegurar a continuidade de fornecimento da Instituição Hospitalar, Rede Municipal de Ensino, CMEI’s, Creches, Entidades Conveniadas, Manutenção da Cozinha Comunitária, Serviço de Acolhimento Institucional para pessoas Idosas e todas as demais Secretarias de Governança da Prefeitura Municipal de Coronel Fabriciano/MG, para o ano de 2026, tendo como fonte de receita: Transferências Fundo a Fundo de Recursos do SUS provenientes do Governo Federal, Transferências Fundo a Fundo de Recursos do SUS provenientes do Governo Estadual e Recursos não Vinculados de Impostos.",,
23/2026,DISPENSA DE LICITAÇÃO,4,30-03-2026 13:00 <br> 30-,,19-03-2026,Fracassado,"Aquisição de fantasia oficial lúdica da Maria Gotinha, em atendimento a RESOLUÇÃO SES/MG Nº 9.842 DE 13 DE NOVEMBRO DE 2024, com a finalidade de reforçar as campanhas de imunização realizadas pelo Município de Coronel Fabriciano, tendo como fonte de receita, Transferências Fundo a Fundo de Recursos do SUS, Provenientes do Governo Estadual e Recursos não Vinculados de Impostos.",,
21/2026,PREGÃO ELETRÔNICO REGISTRO DE PREÇO,8,30-03-2026 13:00 <br> 30-,,12-03-2026,Homologado,"Registro de Preços, para futura e eventual aquisição de equipos comuns e fotossensíveis para bomba de infusão, com comodato das bombas de infusão (concessão gratuita de bombas de infusão), para atender aos pacientes do Hospital Doutor José Maria Morais e UPA 24 horas Doutor Walter Luíz Winter Maia, incluindo assistência técnica e manutenções preventivas e corretivas das bombas, com substituição das mesmas que apresentarem falhas, durante o período de 12 (doze) meses, tendo como fonte de receita, Transferências Fundo a Fundo de Recursos do SUS provenientes do Governo Federal, Transferências Fundo a Fundo de Recursos do SUS provenientes do Governo Estadual e Recursos não Vinculados de Impostos. ",,
240/2025,CHAMADA PÚBLICA,2,27-03-2026 14:00 <br> 27-,,06-03-2026,Homologado,Concessão de apoio da Administração Pública Municipal para a execução de atividades de implantação e desenvolvimento de iniciação instrumental e musical para os alunos das Escolas Municipais da Secretaria de Governança Educacional e Cultura da Prefeitura Municipal de Coronel Fabriciano/MG. ,,
16/2026,CONCORRÊNCIA,4,26-03-2026 13:00 <br> 26-,,10-03-2026,Homologado,"Contratação de empresa por menor preço global e sob regime de empreitada global, com medições unitárias, com fornecimento de mão de obra, materiais e equipamentos para prestação de serviços de confecção/usinagem de concreto asfáltico usinado a quente – CAUQ e aplicação de CAUQ e demais serviços pertinentes, tais como pavimentações de vias urbanas, recapeamentos e correlatos, em atendimento à Secretaria de Governança de Obras e Serviços Urbanos, tendo como fonte de receita, Transferências da União Referentes a Compensações Financeiras pela Exploração de Recursos Naturais e Recursos não Vinculados de Impostos.",,
24/2026,INEXIGIBILIDADE,9,25-03-2026 13:00 <br> 25-,,27-03-2026,Revogado,"Contratação da empresa CATEDRAL IMOBILIÁRIA LTDA, para  locação de imóvel localizado na Rua Katsuo Furuta nº 67, Bairro Santa Terezinha II, Coronel Fabriciano/MG, para funcionamento da Unidade Básica de Saúde Santa Terezinha, em atendimento à Secretaria de Governança da Saúde, ao valor global de R$ 72.000,00 (setenta e dois mil reais), para o período de 12 (doze) meses, tendo como fonte de receita, Recursos não Vinculados de Impostos, nos termos do art. 74 inciso V, da Lei Federal nº 14.133/21, com suas alterações posteriores.",,
8/2026,PREGÃO ELETRÔNICO,5,16-03-2026 13:00 <br> 16-,,26-02-2026,Homologado,"Aquisição de Fraldas Geriátricas Descartáveis, em atendimento à Secretaria de Governança da Saúde e Secretaria de Governança de Assistência Social, tendo como fonte de receita, Recursos não Vinculados de Impostos.",,
